"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25655","data driven and Learning@830$3mK2","chromium","2026-08-17","failed","2026-08-17","","dataDrivenTesting.spec.ts","",""
"","19777","data driven rahulshettyacademy and Learning@830$3mK2","chromium","2026-08-17","passed","2026-08-17","","dataDrivenTesting.spec.ts","",""
"","34628","data driven rahulshettyacademy and Learning@8","chromium","2026-08-17","broken","2026-08-17","","dataDrivenTesting.spec.ts","",""
"","22224","data driven and","chromium","2026-08-17","failed","2026-08-17","","dataDrivenTesting.spec.ts","",""
"","34561","data driven rahulshetty and Learning@830$3mK2","chromium","2026-08-17","broken","2026-08-17","","dataDrivenTesting.spec.ts","",""
"","24542","Product search and addt to cart","chromium","2026-08-17","passed","2026-08-17","","RSA.spec.ts","",""
"","23656","Login Page test Case","chromium","2026-08-17","passed","2026-08-17","","RSA.spec.ts","",""
