"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Product search and addt to cart","chromium","2026-09-03","skipped","2026-09-03","","RSA.spec.ts","",""
"","15437","Login Page test Case","chromium","2026-09-03","passed","2026-09-03","","RSA.spec.ts","",""
